Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.07097,-0.00089885,0.11258,0,0,0,7.2003,0.017986,0.0006756,0.00083241,0.020129,-8.9186E-05,0.026466,0,0,0,0,0,0,package://wilson/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wilson/meshes/base_link.STL,,base_link-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
laser_frame,-2.1176E-07,-4.0923E-05,-0.011888,0,0,0,0.041194,5.4479E-06,9.7064E-14,5.3555E-11,5.5226E-06,8.257E-09,9.1788E-06,0,0,0,0,0,0,package://wilson/meshes/laser_frame.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wilson/meshes/laser_frame.STL,,LD19-1,laser,,laser_joint,fixed,0.028815,0.00026069,0.30272,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.017796,0,-5.5511E-17,0,0,0,0.0084406,8.8741E-07,1.319E-22,-5.0892E-22,1.1543E-06,-2.074E-22,1.1543E-06,0,0,0,0,0,0,package://wilson/meshes/camera_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://wilson/meshes/camera_link.STL,,Camera Placeholder-1,camera,,camera_joint,fixed,0.10065,0.00016353,0.24572,0,0,0,base_link,0,0,0,,,,,,,,,,,,
depth_camera_link,-0.0035178,2.6724E-05,0,0,0,0,0.0035923,7.2887E-07,-2.8971E-10,-3.3403E-23,3.6036E-07,-3.7283E-23,3.7832E-07,0,0,0,0,0,0,package://wilson/meshes/depth_camera_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://wilson/meshes/depth_camera_link.STL,,Depth Camera Placeholder-1,depth_camera,,depth_camera_joint,fixed,0.07765,0.038164,0.24572,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://wilson/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://wilson/meshes/link_1.STL,,link_1-1,link_1,Axis1,joint_1,revolute,0.20284,-0.0445,0.055968,0,0,0,base_link,0,0,1,0,0,-2.3562,2.3562,,,,,,,,
link_2,0.052,1.1102E-16,-4.8862E-05,0,0,0,0.092908,1.8027E-05,-5.0835E-12,-3.4406E-22,2.6081E-05,7.6203E-20,1.3913E-05,0,0,0,0,0,0,package://wilson/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wilson/meshes/link_2.STL,,link_2-1,link_2,Axis2,joint_2,revolute,0,-0.0002,0.041,1.5708,-1.5708,0,link_1,0,0,-1,0,0,-2.3562,2.3562,,,,,,,,
link_3,0.048456,4.4264E-09,0.00016422,0,0,0,0.04259,1.0479E-05,-2.5418E-12,5.8294E-08,1.4519E-05,-7.3801E-13,6.8191E-06,0,0,0,0,0,0,package://wilson/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wilson/meshes/link_3.STL,,link_3-1,link_3,Axis3,joint_3,revolute,0.10355,0,0.00025,0,0,0,link_2,0,0,-1,0,0,-2.3562,2.3562,,,,,,,,
link_4,0.051407,-1.2493E-05,0.00067072,0,0,0,0.088822,5.9516E-05,-1.66E-10,2.2283E-06,7.3946E-05,-1.2305E-09,2.67E-05,0,0,0,0,0,0,package://wilson/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wilson/meshes/link_4.STL,,link_4-1,link_4,Axis4,joint_4,revolute,0.0639,0,0.0005,0,0,0,link_3,0,0,-1,0,0,-2.3562,2.3562,,,,,,,,
gripper_base,0.010715,1.0389E-05,1.8295E-05,0,0,0,0.1047,0.00012973,-6.8552E-09,-8.4335E-10,9.4298E-05,9.6632E-09,4.7314E-05,0,0,0,0,0,0,package://wilson/meshes/gripper_base.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://wilson/meshes/gripper_base.STL,,gripper_base-1,gripper_base,,gripper_base_joint,fixed,0.077347,-0.00023665,0.00025,0,0,0,link_4,0,0,0,,,,,,,,,,,,
gripper_left_finger,0.013473,0.0020475,0.001721,0,0,0,0.02298,6.2762E-06,5.3005E-07,-5.6448E-07,4.6087E-06,9.4001E-07,6.0257E-06,0,0,0,0,0,0,package://wilson/meshes/gripper_left_finger.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://wilson/meshes/gripper_left_finger.STL,,gripper_left_finger-1,gripper_finger,Axis5,gripper_left_finger_joint,prismatic,0.0272,0,0,0,0,0,gripper_base,0,0,1,0,0,0,0.05,,,,,,,,
gripper_right_finger,0.013473,-0.0020475,-0.001721,0,0,0,0.02298,6.2762E-06,-5.3005E-07,5.6448E-07,4.6087E-06,9.4001E-07,6.0257E-06,0,0,0,0,0,0,package://wilson/meshes/gripper_right_finger.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://wilson/meshes/gripper_right_finger.STL,,gripper_right_finger-1,gripper_finger,Axis5,gripper_right_finger_joint,prismatic,0.0272,0,0,0,0,0,gripper_base,0,0,1,0,0,0,0,,,,,,,,
